$  tcpdump -i eth0

...(too long to paste entire output)
18:42:22.300140 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 154904:155076, ack 73, win 313, length 172
18:42:22.312997 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 171460:171632, ack 109, win 313, length 172
18:42:22.313109 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 171632:171804, ack 109, win 313, length 172
18:42:22.313222 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 171804:171976, ack 109, win 313, length 172
18:42:22.313308 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 171976:172148, ack 109, win 313, length 172
18:42:22.313394 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 172148:172320, ack 109, win 313, length 172
18:42:22.313558 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 172320:172492, ack 109, win 313, length 172
18:42:22.313695 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 172492:172664, ack 109, win 313, length 172
18:42:22.313787 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 172664:172836, ack 109, win 313, length 172
18:42:22.313890 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 172836:173008, ack 109, win 313, length 172
18:42:22.314049 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 173008:173180, ack 109, win 313, length 172
18:42:22.314227 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 173180:173352, ack 109, win 313, length 172
18:42:22.314383 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 173352:173524, ack 109, win 313, length 172
18:42:22.314534 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 173524:173696, ack 109, win 313, length 172
18:42:22.314689 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 173696:173868, ack 109, win 313, length 172
18:42:22.314807 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 173868:174040, ack 109, win 313, length 172
18:42:22.314957 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 174040:174212, ack 109, win 313, length 172
18:42:22.315082 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 174212:174384, ack 109, win 313, length 172
18:42:22.315208 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 174384:174556, ack 109, win 313, length 172
18:42:22.315334 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 174556:174728, ack 109, win 313, length 172
18:42:22.315434 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 174728:174900, ack 109, win 313, length 172
18:42:22.315524 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 174900:175072, ack 109, win 313, length 172
18:42:22.315609 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 175072:175244, ack 109, win 313, length 172
18:42:22.315692 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 175244:175416, ack 109, win 313, length 172
18:42:22.315786 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 175416:175588, ack 109, win 313, length 172
18:42:22.315880 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 175588:175760, ack 109, win 313, length 172
18:42:22.316002 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 175760:175932, ack 109, win 313, length 172
18:42:22.316165 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 175932:176104, ack 109, win 313, length 172
18:42:22.316292 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 176104:176276, ack 109, win 313, length 172
18:42:22.316414 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 176276:176448, ack 109, win 313, length 172
18:42:22.316553 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 176448:176620, ack 109, win 313, length 172
18:42:22.321524 IP 198.96.84.204.54548 > lampDropletComp3134W2020.ssh: Flags [.], ack 159720, win 4103, length 0
18:42:22.321604 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 176620:176964, ack 109, win 313, length 344
18:42:22.321798 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 176964:177248, ack 109, win 313, length 284
18:42:22.321923 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 177248:177420, ack 109, win 313, length 172
18:42:22.322042 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 177420:177592, ack 109, win 313, length 172
18:42:22.322160 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 177592:177764, ack 109, win 313, length 172
18:42:22.322280 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 177764:177936, ack 109, win 313, length 172
18:42:22.322394 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 177936:178108, ack 109, win 313, length 172
18:42:22.322504 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 178108:178280, ack 109, win 313, length 172
18:42:22.322614 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 178280:178452, ack 109, win 313, length 172
18:42:22.322721 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 178452:178624, ack 109, win 313, length 172
18:42:22.322831 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 178624:178796, ack 109, win 313, length 172
18:42:22.322971 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 178796:178968, ack 109, win 313, length 172
18:42:22.329231 IP 198.96.84.204.54548 > lampDropletComp3134W2020.ssh: Flags [.], ack 160580, win 4099, length 0
18:42:22.329276 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 178968:179140, ack 109, win 313, length 172
18:42:22.329447 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 179140:179424, ack 109, win 313, length 284
18:42:22.329539 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 179424:179596, ack 109, win 313, length 172
18:42:22.329623 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 179596:179768, ack 109, win 313, length 172
18:42:22.329699 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 179768:179940, ack 109, win 313, length 172
18:42:22.336161 IP 198.96.84.204.54548 > lampDropletComp3134W2020.ssh: Flags [.], ack 162472, win 4103, length 0
18:42:22.336216 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 179940:180112, ack 109, win 313, length 172
18:42:22.336244 IP 198.96.84.204.54548 > lampDropletComp3134W2020.ssh: Flags [.], ack 164364, win 4103, length 0
18:42:22.336269 IP 198.96.84.204.54548 > lampDropletComp3134W2020.ssh: Flags [.], ack 166256, win 4103, length 0
18:42:22.336602 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 180112:180620, ack 109, win 313, length 508
18:42:22.336647 IP 198.96.84.204.54548 > lampDropletComp3134W2020.ssh: Flags [.], ack 168148, win 4103, length 0
18:42:22.336658 IP 198.96.84.204.54548 > lampDropletComp3134W2020.ssh: Flags [.], ack 169120, win 4099, length 0
18:42:22.336889 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 180620:181016, ack 109, win 313, length 396
18:42:22.337050 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 181016:181188, ack 109, win 313, length 172
18:42:22.337182 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 181188:181360, ack 109, win 313, length 172
18:42:22.337296 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 181360:181532, ack 109, win 313, length 172
18:42:22.337442 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 181532:181704, ack 109, win 313, length 172
18:42:22.337578 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 181704:181876, ack 109, win 313, length 172
18:42:22.337728 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 181876:182048, ack 109, win 313, length 172
18:42:22.337869 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 182048:182220, ack 109, win 313, length 172
18:42:22.337999 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 182220:182392, ack 109, win 313, length 172
18:42:22.338156 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 182392:182564, ack 109, win 313, length 172
18:42:22.338296 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 182564:182736, ack 109, win 313, length 172
18:42:22.338404 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 182736:182908, ack 109, win 313, length 172
18:42:22.338508 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 182908:183080, ack 109, win 313, length 172
18:42:22.338610 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 183080:183252, ack 109, win 313, length 172
18:42:22.338713 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 183252:183424, ack 109, win 313, length 172
18:42:22.338814 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 183424:183596, ack 109, win 313, length 172
18:42:22.338958 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 183596:183768, ack 109, win 313, length 172
18:42:22.339112 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 183768:183940, ack 109, win 313, length 172
18:42:22.339255 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 183940:184112, ack 109, win 313, length 172
18:42:22.339370 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 184112:184284, ack 109, win 313, length 172
18:42:22.339498 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 184284:184456, ack 109, win 313, length 172
18:42:22.339625 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 184456:184628, ack 109, win 313, length 172
18:42:22.339739 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 184628:184800, ack 109, win 313, length 172
18:42:22.339852 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 184800:184972, ack 109, win 313, length 172
18:42:22.339981 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 184972:185144, ack 109, win 313, length 172
18:42:22.340153 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 185144:185316, ack 109, win 313, length 172
18:42:22.340279 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 185316:185488, ack 109, win 313, length 172
18:42:22.340413 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 185488:185660, ack 109, win 313, length 172
18:42:22.340522 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 185660:185832, ack 109, win 313, length 172
18:42:22.340659 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 185832:186004, ack 109, win 313, length 172
18:42:22.340817 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 186004:186176, ack 109, win 313, length 172
18:42:22.340967 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 186176:186348, ack 109, win 313, length 172
18:42:22.341076 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 186348:186520, ack 109, win 313, length 172
18:42:22.341180 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 186520:186692, ack 109, win 313, length 172
18:42:22.341282 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 186692:186864, ack 109, win 313, length 172
18:42:22.341384 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 186864:187036, ack 109, win 313, length 172
18:42:22.341485 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 187036:187208, ack 109, win 313, length 172
18:42:22.341591 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 187208:187380, ack 109, win 313, length 172
18:42:22.341710 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 187380:187552, ack 109, win 313, length 172
18:42:22.341848 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 187552:187724, ack 109, win 313, length 172
18:42:22.341966 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 187724:187896, ack 109, win 313, length 172
18:42:22.342069 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 187896:188068, ack 109, win 313, length 172
18:42:22.342171 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 188068:188240, ack 109, win 313, length 172
18:42:22.342274 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 188240:188412, ack 109, win 313, length 172
18:42:22.342375 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 188412:188584, ack 109, win 313, length 172
18:42:22.342481 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 188584:188756, ack 109, win 313, length 172
18:42:22.342583 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 188756:188928, ack 109, win 313, length 172
18:42:22.342684 IP lampDropletComp3134W2020.ssh > 198.96.84.204.54548: Flags [P.], seq 188928:189100, ack 109, win 313, length 172
